Name,Year,Group,Status,"Birth Date",Gender,"Undergraduate Major","Graduate Major","Military Rank","Military Branch","Space Flights","Space Flight (hr)","Space Walks","Space Walks (hr)",Missions,"Death Date","Death Mission",Birth_city,Birth_state,Birth_country,Ugrad_school,Grad_school
"Joseph M. Acaba",2004,19,Active,"2067-05-17 00:00:00",Male,Geology,Geology,Non-Military,Non-military,2,3307,2,13,"STS-119 (Discovery), ISS-31,32 (Soyuz)",NULL,NULL,Inglewood,CA,USA,"University of California-Santa Barbara","University of Arizona"
"Loren W. Acton",NULL,NULL,Retired,"2036-03-07 00:00:00",Male,"Engineering Physics","Solar Physics",Non-Military,Non-military,1,190,0,0,"STS 51-F (Challenger)",NULL,NULL,Lewiston,MT,USA,"Montana State University","University of Colorado"
"James C. Adamson",1984,10,Retired,"2046-03-03 00:00:00",Male,Engineering,"Aerospace Engineering",Colonel,"US Army (Retired)",2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)",NULL,NULL,Warsaw,NY,USA,"US Military Academy","Princeton University"
"Thomas D. Akers",1987,12,Retired,"2051-05-20 00:00:00",Male,"Applied Mathematics","Applied Mathematics",Colonel,"US Air Force (Retired)",4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",NULL,NULL,"St. Louis",MO,USA,"University of Missouri-Rolla",
"Buzz Aldrin",1963,3,Retired,"2030-01-20 00:00:00",Male,"Mechanical Engineering",Astronautics,Colonel,"US Air Force (Retired)",2,289,2,8,"Gemini 12, Apollo 11",NULL,NULL,Montclair,NJ,USA,"US Military Academy",MIT
"Andrew M. Allen",1987,12,Retired,"2055-08-04 00:00:00",Male,"Mechanical Engineering","Business Administration","Lieutenant Colonel","US Marine Corps (Retired)",3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",NULL,NULL,Philadelphia,PA,USA,"Villanova University","University of Florida"
"Joseph P. Allen",1967,6,Retired,"2037-06-27 00:00:00",Male,"Mathematics & Physics",Physics,Non-Military,Non-military,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)",NULL,NULL,Crawsfordsville,IN,USA,"DePauw University","Yale University"
"Scott D. Altman",1995,15,Retired,"2059-08-15 00:00:00",Male,"Aeronautical & Astronautical Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",NULL,NULL,Lincoln,IL,USA,"University of Illinois","US Naval Postgraduate School"
"William A. Anders",1963,3,Retired,"2033-10-17 00:00:00",Male,"Nuclear Engineering","Nuclear Engineering","Major General","US Air Force Reserves (Retired)",1,147,0,0,"Apollo 8",NULL,NULL,"Hong Kong",,USA,"US Naval Academy","Air Force Institute of Technology"
"Clayton C. Anderson",1998,17,Retired,"2059-02-23 00:00:00",Male,Physics,"Aerospace Engineering",Non-Military,Non-military,2,4005,6,38,"STS-117,120 (Atlantis,Discovery), STS-131 (Discovery)",NULL,NULL,Omaha,NE,USA,"Hastings College","Iowa State University"
"Michael P. Anderson",1995,15,Deceased,"2059-12-25 00:00:00",Male,"Physics & Astronomy",Physics,"Lieutenant Colonel","US Air Force",2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/03,"STS-107 (Columbia)",Plattsburgh,NY,USA,"University of Washington","Creighton University"
"Dominic A. Antonelli",2000,18,Active,"2067-08-23 00:00:00",Male,"Aeronautics & Astronautics","Aeronautics & Astronautics",Commander,"US Navy",2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",NULL,NULL,Detroit,MI,USA,MIT,"University of Washington"
"Jerome Apt III ",1985,11,Retired,"2049-04-18 00:00:00",Male,Physics,Physics,Non-Military,Non-military,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",NULL,NULL,Springfield,MA,USA,"Harvard University",MIT
"Lee J. Archambault",1998,17,Retired,"2060-08-25 00:00:00",Male,"Aeronautical & Astronautical Engineering","Aeronautical & Astronautical Engineering",Colonel,"US Air Force",2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)",NULL,NULL,"Oak Park",IL,USA,"University of Illinois-Urbana",
"Neil A. Armstrong",1962,2,Deceased,"2030-08-05 00:00:00",Male,"Aeronautical Engineering","Aerospace Engineering",Non-Military,Non-military,2,205,1,2,"Gemini 8, Apollo 11",8/25/12,NULL,Wapakoneta,OH,USA,"Purdue University","University of Southern California"
"Richard R. Arnold II ",2004,19,Active,"2063-11-26 00:00:00",Male,Accounting,"Environmental Science",Non-Military,Non-military,1,307,2,12,"STS-119 (Discovery)",NULL,NULL,Cheverly,MD,USA,"Frostburg State University","University of Maryland"
"Jeffrey S. Ashby",1995,15,Retired,"2054-06-01 00:00:00",Male,"Mechanical Engineering","Aviation Systems",Captain,"US Navy (Retired)",3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",NULL,NULL,Dallas,TX,USA,"University of Idaho","University of Tennessee"
"Serena M. Aunon",2009,20,Active,"1976-04-09 00:00:00",Female,"Electrical Engineering",Medicine,Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Indianapolis,IN,USA,"George Washington University","University of Texas"
"James P. Bagian",1980,9,Retired,"2052-02-22 00:00:00",Male,"Mechanical Engineering",Medicine,Non-Military,Non-military,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)",NULL,NULL,Philadelphia,PA,USA,"Drexel University","Thomas Jefferson University"
"Ellen S. Baker",1984,10,Retired,"2053-04-27 00:00:00",Female,Geology,"Medicine; Public Health",Non-Military,Non-military,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",NULL,NULL,Fayettesville,NC,USA,"State University of New York-Buffalo","Cornell University; University of Texas"
"Michael A. Baker",1985,11,Management,"2053-10-27 00:00:00",Male,"Aerospace Engineering",NULL,Captain,"US Navy (Retired)",4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",NULL,NULL,Memphis,TN,USA,"University of Texas",
"Michael R. Barratt",2000,18,Active,"2059-04-16 00:00:00",Male,Zoology,"Medicine; Aerospace Medicine",Non-Military,Non-military,2,5075,1,5,"ISS-19,20 (Soyuz), STS-133 (Discovery)",NULL,NULL,Vancouver,WA,USA,"University of Washington","Northwestern University; Wright State University"
"Daniel T. Barry",1992,14,Retired,"2053-12-30 00:00:00",Male,"Electrical Engineering","Electrical Engineering; Computer Science; Medicine",Non-Military,Non-military,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",NULL,NULL,Norwalk,CT,USA,"Cornell University","Princeton University; University of Miami"
"John-David F. Bartoe",NULL,NULL,Retired,"2044-11-17 00:00:00",Male,Physics,Physics,Non-Military,Non-military,1,190,0,0,"STS 51-F (Challenger)",NULL,NULL,Abington,PA,USA,"Lehigh University","Georgetown University"
"Charles A. Bassett II ",1963,3,Deceased,"2031-12-30 00:00:00",Male,"Electrical Engineering",NULL,Captain,"US Air Force",0,0,0,0,"No missions",2/28/66,NULL,Dayton,OH,USA,"Texas Technological College",
"Alan L. Bean",1963,3,Retired,"2032-03-15 00:00:00",Male,"Aeronautical Engineering",NULL,Captain,"US Navy (Retired)",2,1671,3,10,"Apollo 12, Skylab 3",NULL,NULL,Wheeler,TX,USA,"University of Texas",
"Robert L. Behnken",2000,18,Active,"1970-07-28 00:00:00",Male,"Physics & Mechanical Engineering","Mechanical Engineering",Colonel,"US Air Force",2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)",NULL,NULL,"Creve Couer",MO,USA,"Washington University","California Institute of Technology"
"John E. Blaha",1980,9,Retired,"2042-08-26 00:00:00",Male,"Engineering Science","Astronautical Engineering",Colonel,"US Air Force (Retired)",5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79,81 (Atlantis,Atlantis)",NULL,NULL,"San Antonio",TX,USA,"US Air Force Academy","Purdue University"
"Michael J. Bloomfield",1995,15,Retired,"2059-03-16 00:00:00",Male,"Engineering Mechanics","Engineering Management",Colonel,"US Air Force (Retired)",3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",NULL,NULL,Flint,MI,USA,"US Air Force Academy","Old Dominion University"
